rule key,start line,end line,severity,message,type
java:S1066,80,80,CLEAR,Merge this if statement with the enclosing one.,null,
java:S1220,null,null,MODULAR,Move this file to a named package.,null,
java:S112,97,97,COMPLETE,Define and throw a dedicated exception instead of using a generic one.,null,
java:S1197,48,48,FORMATTED,Move the array designators [] to the type.,null,
java:S106,49,49,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,51,51,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,65,65,MODULAR,Replace this use of System.out by a logger.,null,
java:S2093,59,59,CONVENTIONAL,Change this "try" to a try-with-resources. (sonar.java.source not set. Assuming 7 or greater.),null,
java:S106,76,76,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,81,81,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,85,85,MODULAR,Replace this use of System.out by a logger.,null,
java:S1181,90,90,CONVENTIONAL,Catch Exception instead of Throwable.,null,
java:S106,88,88,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,91,91,MODULAR,Replace this use of System.out by a logger.,null,
