rule key,start line,end line,severity,message,type
java:S1598,19,19,CONVENTIONAL,File path "" should match package name "org.apache.pulsar.broker.delayed.bucket". Move the file or change the package name.,null,
java:S112,62,62,COMPLETE,Define and throw a dedicated exception instead of using a generic one.,null,
java:S112,67,67,COMPLETE,Define and throw a dedicated exception instead of using a generic one.,null,
java:S4144,95,95,DISTINCT,Update this method so that its implementation is not identical to "benchmarkOptimisticReadSingleThreaded" on line 77.,null,
java:S4144,112,112,DISTINCT,Update this method so that its implementation is not identical to "benchmarkOptimisticReadSingleThreaded" on line 77.,null,
java:S4144,129,129,DISTINCT,Update this method so that its implementation is not identical to "benchmarkOptimisticReadSingleThreaded" on line 77.,null,
java:S1130,62,62,CLEAR,Remove the declaration of thrown exception 'java.lang.Exception', as it cannot be thrown from method's body.,null,
java:S100,150,150,IDENTIFIABLE,Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,null,
java:S3078,171,171,LOGICAL,Use an "AtomicLong" for this field; its operations are atomic.,null,
java:S100,181,181,IDENTIFIABLE,Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,null,
java:S3078,200,200,LOGICAL,Use an "AtomicLong" for this field; its operations are atomic.,null,
java:S100,210,210,IDENTIFIABLE,Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,null,
java:S3078,229,229,LOGICAL,Use an "AtomicLong" for this field; its operations are atomic.,null,
java:S100,239,239,IDENTIFIABLE,Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,null,
java:S3078,258,258,LOGICAL,Use an "AtomicLong" for this field; its operations are atomic.,null,
java:S100,268,268,IDENTIFIABLE,Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,null,
java:S3078,287,287,LOGICAL,Use an "AtomicLong" for this field; its operations are atomic.,null,
java:S100,297,297,IDENTIFIABLE,Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,null,
java:S3078,316,316,LOGICAL,Use an "AtomicLong" for this field; its operations are atomic.,null,
java:S100,326,326,IDENTIFIABLE,Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,null,
java:S3078,345,345,LOGICAL,Use an "AtomicLong" for this field; its operations are atomic.,null,
java:S100,359,359,IDENTIFIABLE,Rename this method name to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,null,
java:S3078,378,378,LOGICAL,Use an "AtomicLong" for this field; its operations are atomic.,null,
