rule key,start line,end line,severity,message,type
java:S1104,29,29,MODULAR,Make a a static final constant or non-public and provide accessors if needed.,null,
java:S1104,40,40,MODULAR,Make childField a static final constant or non-public and provide accessors if needed.,null,
java:S1598,1,1,CONVENTIONAL,File path "" should match package name "com.cedarsoftware.util". Move the file or change the package name.,null,
java:S112,95,95,COMPLETE,Define and throw a dedicated exception instead of using a generic one.,null,
java:S1144,25,25,CLEAR,Remove this unused private "ConstructorTarget" constructor.,null,
java:S1186,22,22,COMPLETE,Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.,null,
java:S1186,23,23,COMPLETE,Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.,null,
java:S1186,24,24,COMPLETE,Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.,null,
java:S1186,25,25,COMPLETE,Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.,null,
java:S1172,25,25,CLEAR,Remove this unused method parameter "d".,null,
java:S2065,36,36,CLEAR,Remove the "transient" modifier from this field.,null,
java:S3011,97,97,MODULAR,This accessibility update should be removed.,null,
java:S1068,30,30,CLEAR,Remove this unused "b" private field.,null,
java:S1068,35,35,CLEAR,Remove this unused "parentField" private field.,null,
