rule key,start line,end line,severity,message,type
java:S2184,129,129,CLEAR,Cast one of the operands of this addition operation to a "long".,null,
java:S2184,151,151,CLEAR,Cast one of the operands of this addition operation to a "long".,null,
java:S2184,320,320,CLEAR,Cast one of the operands of this addition operation to a "long".,null,
java:S2184,347,347,CLEAR,Cast one of the operands of this addition operation to a "long".,null,
java:S1598,19,19,CONVENTIONAL,File path "" should match package name "org.apache.pulsar.broker.delayed.bucket". Move the file or change the package name.,null,
java:S1141,246,246,CLEAR,Extract this nested try block into a separate method.,null,
java:S1450,55,55,CLEAR,Remove the "cursor" field and declare it as a local variable in the relevant methods.,null,
java:S1450,54,54,CLEAR,Remove the "dispatcher" field and declare it as a local variable in the relevant methods.,null,
java:S1450,57,57,CLEAR,Remove the "storage" field and declare it as a local variable in the relevant methods.,null,
java:S1450,56,56,CLEAR,Remove the "timer" field and declare it as a local variable in the relevant methods.,null,
java:S3776,114,114,FOCUSED,Refactor this method to reduce its Cognitive Complexity from 17 to the 15 allowed.,null,
java:S2142,134,134,COMPLETE,Either re-interrupt this method or rethrow the "InterruptedException" that can be caught here.,null,
java:S2142,156,156,COMPLETE,Either re-interrupt this method or rethrow the "InterruptedException" that can be caught here.,null,
java:S106,172,172,MODULAR,Replace this use of System.err by a logger.,null,
java:S2142,206,206,COMPLETE,Either re-interrupt this method or rethrow the "InterruptedException" that can be caught here.,null,
java:S3776,226,226,FOCUSED,Refactor this method to reduce its Cognitive Complexity from 20 to the 15 allowed.,null,
java:S131,247,247,CLEAR,Add a default case to this switch.,null,
java:S2142,288,288,COMPLETE,Either re-interrupt this method or rethrow the "InterruptedException" that can be caught here.,null,
java:S3776,303,303,FOCUSED,Refactor this method to reduce its Cognitive Complexity from 33 to the 15 allowed.,null,
java:S2142,327,327,COMPLETE,Either re-interrupt this method or rethrow the "InterruptedException" that can be caught here.,null,
java:S1481,337,337,CLEAR,Remove this unused "readerId" local variable.,null,
java:S2142,356,356,COMPLETE,Either re-interrupt this method or rethrow the "InterruptedException" that can be caught here.,null,
java:S2142,410,410,COMPLETE,Either re-interrupt this method or rethrow the "InterruptedException" that can be caught here.,null,
java:S106,426,426,MODULAR,Replace this use of System.out by a logger.,null,
