rule key,start line,end line,severity,message,type
java:S1598,1,1,CONVENTIONAL,File path "" should match package name "com.openisle.integration". Move the file or change the package name.,null,
java:S3740,38,38,COMPLETE,Provide the parametrized type for this generic.,null,
java:S3740,43,43,COMPLETE,Provide the parametrized type for this generic.,null,
java:S3740,55,55,COMPLETE,Provide the parametrized type for this generic.,null,
java:S3740,59,59,COMPLETE,Provide the parametrized type for this generic.,null,
java:S3740,63,63,COMPLETE,Provide the parametrized type for this generic.,null,
java:S3740,70,70,COMPLETE,Provide the parametrized type for this generic.,null,
java:S3740,90,90,COMPLETE,Provide the parametrized type for this generic.,null,
java:S3740,97,97,COMPLETE,Provide the parametrized type for this generic.,null,
java:S3740,104,104,COMPLETE,Provide the parametrized type for this generic.,null,
java:S1192,56,56,DISTINCT,Define a constant instead of duplicating this literal "title" 3 times.,null,
java:S1192,56,56,DISTINCT,Define a constant instead of duplicating this literal "content" 9 times.,null,
java:S1192,59,59,DISTINCT,Define a constant instead of duplicating this literal "/api/posts/" 5 times.,null,
java:S1192,63,63,DISTINCT,Define a constant instead of duplicating this literal "/api/comments/" 3 times.,null,
java:S1192,34,34,DISTINCT,Define a constant instead of duplicating this literal "username" 3 times.,null,
