rule key,start line,end line,severity,message,type
java:S1598,1,1,CONVENTIONAL,File path "" should match package name "io.github.panghy.javaflow.examples". Move the file or change the package name.,null,
java:S1192,266,266,DISTINCT,Define a constant instead of duplicating this literal "Client " 3 times.,null,
java:S3776,162,162,FOCUSED,Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.,null,
java:S106,224,224,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,238,238,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,266,266,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,268,268,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,271,271,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,285,285,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,376,376,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,380,380,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,388,388,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,410,410,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,413,413,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,415,415,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,420,420,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,422,422,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,432,432,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,433,433,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,436,436,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,437,437,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,438,438,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,439,439,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,440,440,MODULAR,Replace this use of System.out by a logger.,null,
