rule key,start line,end line,severity,message,type
java:S1598,1,1,CONVENTIONAL,File path "" should match package name "io.github.panghy.javaflow.examples". Move the file or change the package name.,null,
java:S1192,258,258,DISTINCT,Define a constant instead of duplicating this literal "deterministic_bug" 3 times.,null,
java:S1192,289,289,DISTINCT,Define a constant instead of duplicating this literal "recovery_test_bug" 3 times.,null,
java:S1450,46,46,CLEAR,Remove the "isDown" field and declare it as a local variable in the relevant methods.,null,
java:S3776,120,120,FOCUSED,Refactor this method to reduce its Cognitive Complexity from 24 to the 15 allowed.,null,
java:S106,162,162,MODULAR,Replace this use of System.err by a logger.,null,
java:S106,237,237,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,238,238,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,239,239,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,240,240,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,241,241,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,312,312,MODULAR,Replace this use of System.out by a logger.,null,
java:S106,313,313,MODULAR,Replace this use of System.out by a logger.,null,
